–ü–æ–∑–∏—Ü–∏—è;–û–±–æ–∑–Ω–∞—á–µ–Ω–∏–µ;–ö–æ—Ä–ø—É—Å;–ö–æ–ª–∏—á–µ—Å—Ç–≤–æ;–ó–Ω–∞—á–µ–Ω–∏–µ;–ü–æ—Å—Ç–∞–≤—â–∏–∫ –∏ —Å–ø—Ä–∞–≤–∫–∞
1;D8;TMA1515S;1;TMA1515S;
2;U2;SOT-223;1;LM1117GS-3.3;
3;C13,C12,C18,C17;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;4;10u;
4;C9;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;220p;
5;C10;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;1u;
6;D2;SOIC-16W_7.5x10.3mm_P1.27mm;1;ISO54-Driver;
7;R6,R5;R_1206_3216Metric_Pad1.42x1.75mm_HandSolder;2;03.ÒÂÌ;
8;R4;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;6.8k;
9;D4;D_SOD-123;1;BZT52C10-7-F;
10;D3;D_SOD-123;1;MMSZ5223B;
11;C1;C_Rect_L31.5mm_W13.0mm_P27.50mm_MKS4;1;2u;
12;U1;SOT-223;1;LM1117GS-5.0;
13;D1;TO-247-2_Vertical;1;VS-60EPF06-M3;
14;J5;Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal;1;OUT+;
15;J4;Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal;1;OUT-;
16;J2;Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal;1;DC-;
17;J1;Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal;1;DC+;
18;H6,H5,H4,H3,H2,H1;MountingHole_3mm;6;MountingHole;
19;J3;Molex_Micro-Fit_3.0_43045-0800_2x04_P3.00mm_Horizontal;1;Control Connector;
20;C11,C8,C5,C4;C_2220_5650Metric_Pad1.97x5.40mm_HandSolder;4;0.22u;
21;R7;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;Jumper;
22;D6;LPSR_50;1;LPSR_50-NP;
23;R3;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;R_Small;
24;R2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10k;
25;R1;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10;
26;Q1;TO-247-3_Vertical;1;HGTG20N60A4;
27;D5;D_SMC;1;MURS360T3G;
28;C7;C_0603_1608Metric_Pad1.05x0.95mm_HandSolder;1;0.1u;
29;C6,C2;C_1210_3225Metric_Pad1.42x2.65mm_HandSolder;2;4.7u;
30;C3;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;C_Small;
